,DATE,NAME,TEXT
0,"
                            
                              13 July 2017
                            
                        ",['Era'],"
I've been dealing with depression for what feels like all my life. I had another attempt at improving my life, joined a gym doing classes I enjoyed, took pressure off myself for not being on top of the housework and my husband kept telling me how amazing I was doing, being positive and changing my life around. Secretly, even though I have an amazing husband, an easy job I enjoy working only 12 hours a week, was only doing three workouts a week that I enjoyed and my life was cruisey by most peoples standards, I felt I was barely treading water. I then came down with shingles and I'm back in the dark. I feel pathetic, trying to turn my life around was exhausting. I just want to sleep on the couch. I want to want to get better but it feels impossible. I'm on medication, I've done the psychologists, I try happify, I do the exercise programs/meditation/mindfulness, it does nothing. I was walking every day last year with my beautiful dog, who lifted me every day, then she got sick, after two weeks and $6000 of vet bills, we decided the best thing for her was to let her go. I'm still heartbroken. I don't believe in god or fate but when I'm like this it feels like everything is conspiring to keep me down, I don't deserve to be happy. I think my brain is broken, it doesn't work like it should. I'm so tired
"
1,"
                            
                              13 July 2017
                            
                        ",['star76'],"
I haven't posted for a while now. I can't find my thread any more its been so long. 
I'm back posting about my body image issues again. I've struggled since the age of 14 with my weight.This is when my depression first started also. I've both underweight  and overweight ,currently over. I am very low in energy and my depression is bad. 
I don't have the energy to write up a long history again as I have done before.I have done therapy 12 years with the same psychiatrist and many self help groups and methods for about 15 years . I'm not open to more therapy at this point. 
 I would just like to know other feel this way.
I'm embarrassed that these thoughts still rule me. To the point of despair. I feel ashamed. I want to hide away.
I feel hopeless and defeated.
 
star 76
 
"
2,"
                            
                              13 July 2017
                            
                        ",['Lyddie'],"
Hi, I wasn't exactly sure where to post this, but I hope this is the right section.
I have been struggling quite badly with Depression and Anxiety for a while now due to being unemployed for a long time, and constantly feel like a failure and embarrassment. I also lost my Dad to Cancer this year, and have been trying to deal with it, but feel so much guilt and regret. Stress has been affecting my sleep, and I'm just in a pretty dark place at the moment. 
I have been trying to find a light at the end of the tunnel, and trying to get further in life, but life is very bleak at the moment.I would love some advice on how others deal with Depression and Anxiety, or what people do to feel better. I have recently tried Yoga, and that had been helpful for a while, but that stress always returns. 
 Thank-you for taking time to read this, And I'm sorry if it's hard to make sense of. <3 
"
3,"
                            
                              11 July 2017
                            
                        ",['The Possum'],"
Like many with mood disorders, managing these moods can seriously take over our entire lives. 
As a bipolar ii sufferer, undertaking medication and therapy (limited), there's still little things that we can do in trying to curb these moods. 
Letting our emotions get the better of us, lends a hand to strong mood changes. Emotions require managing for everyone, regardless of who you are, but us bipolar folk need to be even more careful.
I have read a lot about the HALT principle. 
This involves identifying when our emotions are changing and acting on this. 
Are we? 
H - hungry 
A - angry 
L - lonely 
T - tired
Once you've looked at these, then work hard to try and remedy this, before the emotions take off and are moods start sliding (up of down or even sideways) 
Seems small, but it's a practical step we can implement when reviewing how we feel 
Peace x
"
4,"
                            
                              13 July 2017
                            
                        ",['Lenny1'],"
I have no clue how this happened but I haven't left the house since 10/6.  I'm so down and fatigued constantly.  I start sweating, shaking and have shallow breathing just thinking about go out.   My psychologist says just push through it.  You won't die.  But how do I explain that just having a shower is a battle of the mind. 
"
5,"
                            
                              11 July 2017
                            
                        ",['Leanner'],"
I was diagnosed nearly 2 years ago with anxiety and depression. I'm doing the whole medication and engaging with a psychologist and psychiatrist on a monthly basis. I am almost at my wits end with it all. I don't feel that I am progressing at all!!
I am still very unhappy in my life and I work in a job that I barely like. I'm not doing anything positive to help myself, I don't eat properly, I don't exercise or get out at all. I want to get out of this rut but don't seem to have the get-up and go to get it happening. I wonder if my life will be any different to the extent that I can say that I am in remission.
"
6,"
                            
                              21 February 2017
                            
                        ",['Lost89'],"
Hello online community. This is my 1st post so yay for me, I suppose this is a good step. 
 Where do I begin? I have suffered from depression and anxiety since my teens and it has been an up and down battle ever since. 
 I have been in a loving relationship for over 6 years now. My partner is what dreams are made of, supportive, understanding, loving and will do anything for me.
 Lately though I am so depressed and anxious, I can't even get off the couch. I don't sleep, I don't eat and I have zero motivation. Yesterday I couldn't go to work, which makes me more anxious as I had to call in sick (gotta love the power of anxiety hey?) 
 I try to zero in on my thoughts to try and work through them, but they are going so fast I don't even know what they are.  I feel so guilty as I have completely removed myself from my partner and I can see that im hurting him. How can he love the half version of myself? 
I feel so lost and unfulfilled, like I've wasted my prime time. I guess I feel like I don't even know myself anymore.  
 Anyway, I don't even know where I'm going with this, I guess I just need to hear that im not alone, not crazy and there are others out there that feel the same. 
Thank you and stay strong! 
"
7,"
                            
                              16 June 2017
                            
                        ",['Wilhelmina Spankbottom'],"
Hi everyone. I was diagnosed with Parkinson's Disease about when I was 32 years of age. Since it became an issue, I have not been able to hold down a job for longer than 6 months. I have constant bouts of depression, for which my husband's answer is ""suck it up"". He is a control freak, has kicked me out of the house, and is having an emotional relationship with a once close female family friend and says it's all in my head. I am about to lose it completely. I just don't know what to do.......
"
8,"
                            
                              9 July 2017
                            
                        ",['SG1993'],"
Hi All, this is following on from my last post a couple weeks ago with where I am at and how things are.
I haven't been able to see a GP yet and haven't been overly keen to due to the fact that I would probably lose my Gov. job and have a cascade of other events occur, however I have more-so just been monitoring how I have been going and will make the decision to see someone if there is no improvement.
Long story short from my other thread, I've had issues at work the last 12 months with definitely some workplace bullying (Management told me to basically suck it up and be resilient) . This has had me extremely depressed whenever I would travel away for work for the few days I would be there (I work away from home so I spend 3-4 days a week away from home).
Last week the culprit with this workplace bullying tried to put me in the spotlight for something I did not do, and just interacting with him and rightly justifying myself left me extremely anxious and I could feel my heart beating through my chest.  
I literally cannot enjoy my last day off any more because I know I will have to travel to work, and it's gotten to the point where I don't want to do anything really on that last day off because I just feel really down and sad about travelling back. 
Someone might be able to weigh in here on this - currently I can only be happy when being around home and with my girlfriend. At work I feel like I have this heavy weight on me where I am just constantly feeling upset and just anxious about things that I shouldn't get anxious or worried about (for example, worried about my girlfriend when she has proven to me she is extremely loyal and would never do me wrong).
My biggest problem is that I just go into my shell when I am at work and it feels like that roller coaster of emotions like I explained. I have gone from an out-going care-free kind of person to someone now who is constantly down about being away from work & my partner, and just feeling like I can't really be properly happy and enjoy the things I would usually do even when I am away from that environment.
Does anyone else experience these acute fluctuations in feelings? I can be walking around and just feel dizzy, and generally unwell at work. Even travelling to work at the end of my last day off can easily get me quite upset and again nearly making me feel sick .I've always tried to push through this, my work performance is suffering as a result and I feel my relationship may suffer as well.
"
9,"
                            
                              9 July 2017
                            
                        ",['Sdm'],"
Was diagnosed with depression in 2002 and started taking anti-depressants, these worked, but after a prolonged period of financial stress I have fallen into a debilitating depression with extreme anxiety and don't know what I can do as the medication isn't working anymore.
"
